Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,18,12,419,-9530.851662
1,18,13,420,-20772.92438
1,18,14,421,9074.513209
1,18,15,422,-12659.30819
1,18,16,423,-4847.429105
1,18,17,424,-12083.70454
1,18,18,425,-15850.45113
1,18,19,426,-5341.751576
1,18,20,427,-8781.435624
1,18,21,428,-20661.36653
1,18,22,429,-9687.787396
1,18,23,430,-64357.80338
1,18,24,431,0.0
1,19,1,432,0.0
1,19,2,433,0.0
1,19,3,434,0.0
1,19,4,435,0.0
1,19,5,436,0.0
1,19,6,437,0.0
1,19,7,438,19155.83663
1,19,8,439,13066.20038
1,19,9,440,8684.790388
1,19,10,441,4180.069435
1,19,11,442,0.0
1,19,12,443,0.0
1,19,13,444,0.0
1,19,14,445,0.0
1,19,15,446,0.0
1,19,16,447,0.0
1,19,17,448,0.0
1,19,18,449,0.0
1,19,19,450,0.0
1,19,20,451,0.0
1,19,21,452,0.0
1,19,22,453,0.0
1,19,23,454,0.0
1,19,24,455,0.0
1,20,1,456,0.0
1,20,2,457,0.0
1,20,3,458,0.0
1,20,4,459,0.0
1,20,5,460,0.0
1,20,6,461,0.0
1,20,7,462,0.0
1,20,8,463,0.0
1,20,9,464,0.0
1,20,10,465,0.0
1,20,11,466,0.0
1,20,12,467,0.0
1,20,13,468,0.0
1,20,14,469,0.0
1,20,15,470,0.0
1,20,16,471,0.0
1,20,17,472,0.0
1,20,18,473,0.0
1,20,19,474,0.0
1,20,20,475,0.0
1,20,21,476,0.0
1,20,22,477,0.0
1,20,23,478,0.0
1,20,24,479,0.0
1,21,1,480,0.0
1,21,2,481,0.0
1,21,3,482,0.0
1,21,4,483,0.0
1,21,5,484,0.0
1,21,6,485,0.0
1,21,7,486,0.0
1,21,8,487,0.0
1,21,9,488,0.0
1,21,10,489,0.0
1,21,11,490,0.0
1,21,12,491,0.0
1,21,13,492,0.0
1,21,14,493,0.0
1,21,15,494,0.0
1,21,16,495,0.0
1,21,17,496,0.0
1,21,18,497,0.0
1,21,19,498,0.0
1,21,20,499,0.0
1,21,21,500,0.0
1,21,22,501,0.0
1,21,23,502,0.0
1,21,24,503,0.0
1,22,1,504,0.0
1,22,2,505,0.0
1,22,3,506,0.0
1,22,4,507,0.0
1,22,5,508,0.0
1,22,6,509,0.0
1,22,7,510,0.0
1,22,8,511,0.0
1,22,9,512,0.0
1,22,10,513,0.0
1,22,11,514,0.0
1,22,12,515,7834.547002
1,22,13,516,10287.81269
1,22,14,517,976.2103963
1,22,15,518,-3217.800435
1,22,16,519,10924.83606
1,22,17,520,8263.204197
1,22,18,521,406.7250762
1,22,19,522,-20317.68897
1,22,20,523,7633.857905
1,22,21,524,-4.077598333
1,22,22,525,-19839.71057
1,22,23,526,-17380.56065
1,22,24,527,0.0
1,23,1,528,0.0
1,23,2,529,0.0
1,23,3,530,0.0
1,23,4,531,0.0
1,23,5,532,0.0
1,23,6,533,0.0
1,23,7,534,18072.01761
1,23,8,535,6092.418018
1,23,9,536,9057.45833
1,23,10,537,17891.59096
1,23,11,538,6029.580285
1,23,12,539,17369.84946
1,23,13,540,8485.804597
1,23,14,541,-3548.863976
1,23,15,542,16587.97683
1,23,16,543,-2327.693308
1,23,17,544,10298.07356
1,23,18,545,4831.051868
1,23,19,546,-1043.825585
1,23,20,547,18621.49343
1,23,21,548,46.437115
1,23,22,549,6844.157749
1,23,23,550,6855.283864
1,23,24,551,2746.772177
1,24,1,552,0.0
1,24,2,553,0.0
1,24,3,554,0.0
1,24,4,555,0.0
1,24,5,556,0.0
1,24,6,557,0.0
1,24,7,558,14034.50756
1,24,8,559,153.8394027
1,24,9,560,19373.47896
1,24,10,561,3427.052125
1,24,11,562,11400.31173
1,24,12,563,7852.977089
1,24,13,564,-6502.373853
1,24,14,565,-2538.562287
1,24,15,566,-7339.123555
1,24,16,567,-3642.739296
1,24,17,568,-10065.34563
1,24,18,569,3011.36656
1,24,19,570,-2338.759048
1,24,20,571,-14080.40627
1,24,21,572,-1707.898763
1,24,22,573,-4103.223862
1,24,23,574,1185.197998
1,24,24,575,-28039.84967
1,25,1,576,0.0
1,25,2,577,0.0
1,25,3,578,0.0
1,25,4,579,0.0
1,25,5,580,0.0
1,25,6,581,0.0
1,25,7,582,23452.33703
1,25,8,583,13379.66347
1,25,9,584,3203.897587
1,25,10,585,4568.912172
1,25,11,586,9827.77768
1,25,12,587,2788.728711
1,25,13,588,1410.707636
1,25,14,589,19342.0679
1,25,15,590,-5096.197187
1,25,16,591,867.5699906
1,25,17,592,-6262.26849
1,25,18,593,-13489.37621
1,25,19,594,-2235.248848
1,25,20,595,-18625.06338
1,25,21,596,-4460.558904
1,25,22,597,-2351.281674
1,25,23,598,-19184.74921
1,25,24,599,0.0
1,26,1,600,0.0
1,26,2,601,0.0
1,26,3,602,0.0
1,26,4,603,0.0
1,26,5,604,0.0
1,26,6,605,0.0
1,26,7,606,0.0
1,26,8,607,0.0
1,26,9,608,0.0
1,26,10,609,0.0
1,26,11,610,0.0
1,26,12,611,0.0
1,26,13,612,0.0
1,26,14,613,0.0
1,26,15,614,19696.3115
1,26,16,615,0.0
1,26,17,616,0.0
1,26,18,617,0.0
1,26,19,618,0.0
1,26,20,619,0.0
1,26,21,620,0.0
1,26,22,621,0.0
1,26,23,622,0.0
1,26,24,623,0.0
1,27,1,624,0.0
1,27,2,625,0.0
1,27,3,626,0.0
1,27,4,627,0.0
1,27,5,628,0.0
1,27,6,629,0.0
1,27,7,630,0.0
1,27,8,631,0.0
1,27,9,632,0.0
1,27,10,633,0.0
1,27,11,634,0.0
1,27,12,635,0.0
1,27,13,636,0.0
1,27,14,637,0.0
1,27,15,638,0.0
1,27,16,639,0.0
1,27,17,640,0.0
1,27,18,641,0.0
1,27,19,642,0.0
1,27,20,643,0.0
1,27,21,644,0.0
1,27,22,645,0.0
1,27,23,646,0.0
1,27,24,647,0.0
1,28,1,648,0.0
1,28,2,649,0.0
1,28,3,650,0.0
1,28,4,651,0.0
1,28,5,652,0.0
1,28,6,653,0.0
1,28,7,654,0.0
1,28,8,655,0.0
1,28,9,656,1905.103572
1,28,10,657,2522.724314
1,28,11,658,119.0150316
1,28,12,659,-60332.68896
1,28,13,660,-82267.52365
1,28,14,661,-67897.57801
1,28,15,662,-44130.50274
1,28,16,663,-85842.90087
1,28,17,664,-34205.17511
1,28,18,665,-12065.43928
1,28,19,666,-2806.041321
1,28,20,667,-3617.223023
1,28,21,668,-3822.943905
1,28,22,669,-3866.705191
1,28,23,670,-6898.839135
1,28,24,671,0.0
1,29,1,672,0.0
1,29,2,673,0.0
1,29,3,674,0.0
1,29,4,675,0.0
1,29,5,676,0.0
1,29,6,677,0.0
1,29,7,678,25867.08826
1,29,8,679,9417.020264
1,29,9,680,23974.67487
1,29,10,681,-10316.4089
1,29,11,682,-66273.83913
1,29,12,683,0.0
1,29,13,684,0.0
1,29,14,685,-18810.9434
1,29,15,686,32975.18787
1,29,16,687,14842.79291
1,29,17,688,12817.74848
1,29,18,689,9946.685274
1,29,19,690,2185.012078
1,29,20,691,-7986.565717
1,29,21,692,-8647.316007
1,29,22,693,3106.753467
1,29,23,694,-16236.56289
1,29,24,695,0.0
1,30,1,696,0.0
1,30,2,697,0.0
1,30,3,698,0.0
1,30,4,699,0.0
1,30,5,700,0.0
1,30,6,701,0.0
1,30,7,702,-1630.74156
1,30,8,703,32382.33385
1,30,9,704,31009.51685
1,30,10,705,12469.37488
1,30,11,706,19320.79069
1,30,12,707,8277.668124
1,30,13,708,11826.32179
1,30,14,709,15028.35556
1,30,15,710,8425.66416
1,30,16,711,2956.337968
1,30,17,712,8625.341738
1,30,18,713,3460.016122
1,30,19,714,11986.5082
1,30,20,715,18136.85652
1,30,21,716,13359.04102
1,30,22,717,19240.64655
1,30,23,718,11762.72313
1,30,24,719,1007.395712
1,31,1,720,0.0
1,31,2,721,0.0
1,31,3,722,0.0
1,31,4,723,0.0
1,31,5,724,0.0
1,31,6,725,0.0
1,31,7,726,-22648.59239
1,31,8,727,25434.90154
1,31,9,728,14357.07611
1,31,10,729,12267.17994
1,31,11,730,12759.92466
1,31,12,731,4992.831115
1,31,13,732,9111.163864
1,31,14,733,14959.60803
1,31,15,734,8322.936834
1,31,16,735,4954.821816
1,31,17,736,1055.0563
1,31,18,737,8753.796169
1,31,19,738,5184.500085
1,31,20,739,11869.24305
1,31,21,740,14773.44786
1,31,22,741,11239.22398
1,31,23,742,4914.399855
1,31,24,743,11465.46347
2,1,1,744,0.0
2,1,2,745,0.0
2,1,3,746,0.0
2,1,4,747,0.0
2,1,5,748,0.0
2,1,6,749,0.0
2,1,7,750,34203.06637
2,1,8,751,38030.85435
2,1,9,752,12360.43274
2,1,10,753,13018.11714
2,1,11,754,13379.67693
2,1,12,755,-943.6546001
2,1,13,756,5942.604717
2,1,14,757,-6205.679695
2,1,15,758,-9756.437862
2,1,16,759,-4731.336317
2,1,17,760,-15292.89623
2,1,18,761,-20380.32103
2,1,19,762,-5158.333441
2,1,20,763,-14094.89416
2,1,21,764,-6642.238021
2,1,22,765,10227.72869
2,1,23,766,-65801.39196
2,1,24,767,0.0
2,2,1,768,0.0
2,2,2,769,0.0
2,2,3,770,0.0
2,2,4,771,0.0
2,2,5,772,0.0
2,2,6,773,0.0
2,2,7,774,17624.26548
2,2,8,775,14025.16245
2,2,9,776,10411.61915
2,2,10,777,13618.89715
2,2,11,778,5637.855141
2,2,12,779,-69.79988714
2,2,13,780,-7092.843742
2,2,14,781,-6753.706325
2,2,15,782,-24504.51685
2,2,16,783,-16941.11466
2,2,17,784,-28845.41431
2,2,18,785,-14011.38995
2,2,19,786,-19936.87374
2,2,20,787,-21999.29327
2,2,21,788,-7892.932956
2,2,22,789,9668.813045
2,2,23,790,47165.9758
2,2,24,791,0.0
2,3,1,792,0.0
2,3,2,793,0.0
2,3,3,794,0.0
2,3,4,795,0.0
2,3,5,796,91398.52963
2,3,6,797,-31776.40711
2,3,7,798,22425.41158
2,3,8,799,16668.74997
2,3,9,800,16151.84953
2,3,10,801,15480.95107
2,3,11,802,12270.56227
2,3,12,803,295.8886638
2,3,13,804,10391.64468
2,3,14,805,7042.080577
2,3,15,806,-8077.482038
2,3,16,807,-22008.48521
2,3,17,808,-17016.02993
2,3,18,809,-10451.17748
2,3,19,810,-13710.37726
2,3,20,811,-27503.87318
2,3,21,812,1101.933534
2,3,22,813,7840.359858
2,3,23,814,-13623.93983
2,3,24,815,-20334.44924
2,4,1,816,-28507.03825
2,4,2,817,-22140.87475
2,4,3,818,-27335.17104
2,4,4,819,-33953.30423
2,4,5,820,-26502.87839
2,4,6,821,-22853.36382
2,4,7,822,17191.30413
2,4,8,823,10456.00917
2,4,9,824,8771.701823
2,4,10,825,4033.467239
2,4,11,826,12084.97216
2,4,12,827,0.0
2,4,13,828,0.0
2,4,14,829,0.0
2,4,15,830,0.0
2,4,16,831,0.0
2,4,17,832,0.0
2,4,18,833,0.0
2,4,19,834,-281444.6821
2,4,20,835,-54630.83551
2,4,21,836,-53449.2671
2,4,22,837,-51711.60122
2,4,23,838,-53525.78547
2,4,24,839,-51195.59099
2,5,1,840,-53510.67173
2,5,2,841,-52155.91782
2,5,3,842,-54327.38654
2,5,4,843,-50721.14076
2,5,5,844,-53653.23426
2,5,6,845,-50706.32992
2,5,7,846,-55890.88431
2,5,8,847,-59636.02369
2,5,9,848,-61555.07331
2,5,10,849,-50943.31937
2,5,11,850,-60594.54176
2,5,12,851,-64803.48884
2,5,13,852,-49997.50089
2,5,14,853,-34580.50814
2,5,15,854,0.0
2,5,16,855,0.0
2,5,17,856,-171810.0808
2,5,18,857,22146.55762
2,5,19,858,-24621.3364
2,5,20,859,-60084.96221
2,5,21,860,-57853.93507
2,5,22,861,-56057.39534
2,5,23,862,-56660.25504
2,5,24,863,-55038.0763
2,6,1,864,-54274.78615
2,6,2,865,-52471.16382
2,6,3,866,-55963.74202
2,6,4,867,-56243.31602
2,6,5,868,-54920.52534
2,6,6,869,-53953.75845
2,6,7,870,-57119.5402
2,6,8,871,-57491.07123
2,6,9,872,0.0
2,6,10,873,0.0
2,6,11,874,0.0
2,6,12,875,0.0
2,6,13,876,0.0
2,6,14,877,0.0
2,6,15,878,0.0
2,6,16,879,0.0
2,6,17,880,0.0
2,6,18,881,0.0
2,6,19,882,0.0
2,6,20,883,0.0
2,6,21,884,0.0
2,6,22,885,0.0
2,6,23,886,0.0
2,6,24,887,0.0
2,7,1,888,0.0
2,7,2,889,0.0
2,7,3,890,0.0
2,7,4,891,0.0
2,7,5,892,0.0
2,7,6,893,0.0
2,7,7,894,0.0
2,7,8,895,0.0
2,7,9,896,0.0
2,7,10,897,0.0
2,7,11,898,0.0
2,7,12,899,0.0
2,7,13,900,0.0
