Hours,HPHtgLd_W
1564,13209.3
1565,13209.4
1566,13215.2
1567,13217.9
1568,22436.1
1569,27374.5
1570,31118.7
1571,36740.8
1572,38609.8
1573,33461.7
1574,38610.3
1575,36737.5
1576,34866.3
1577,29711.4
1578,19415
1579,15974
1580,15996.7
1581,15994.8
1582,13538.3
1583,13213.5
1584,13208.8
1585,13193.4
1586,13192.7
1587,13192.9
1588,13201.2
1589,13201.4
1590,13201.4
1591,13201.6
1592,22406.4
1593,27332.1
1594,31075.3
1595,36691.3
1596,38568.3
1597,33414.9
1598,38564.8
1599,36691
1600,34822.1
1601,29674.1
1602,19386.4
1603,15969.3
1604,15955.2
1605,15974.7
1606,13519.4
1607,13192.8
1608,13194
1609,13185.2
1610,13184.2
1611,13184.4
1612,13184.6
1613,13181.6
1614,13174.9
1615,13175
1616,22380.8
1617,27301.3
1618,31039
1619,36643.1
1620,38511.7
1621,33375.9
1622,38512.3
1623,36646.9
1624,34772.3
1625,29639.9
1626,19352.3
1627,15952.9
1628,15954.5
1629,15936.1
1630,13503.8
1631,13184.2
1632,13184.6
1633,13165.4
1634,13157.1
1635,13157.3
1636,13157.6
1637,13157.9
1638,13166.7
1639,13166.9
1640,22348.8
1641,27264.8
1642,30995.9
1643,36595
1644,38458.7
1645,33329
1646,38458.9
1647,36592.7
1648,34728.9
1649,29595.5
1650,19336.4
1651,15923.2
1652,15916.3
1653,15934
1654,13484
1655,13157.8
1656,13157.8
1657,13147.4
1658,13148.5
1659,13148.6
1660,13148.9
1661,13147.6
1662,13138.7
1663,13138.8
1664,13139.2
1665,18135.4
1666,22706.6
1667,27084.1
1668,27083.1
1669,26869.2
1670,26870.1
1671,26836.6
1672,26832.1
1673,26832.7
1674,22070.9
1675,13149.6
1676,13143.8
1677,13138.7
1678,13139.1
1679,13139.3
1680,13143
1681,13130.9
1682,13129.9
1683,13130.1
1684,13130.3
1685,13121.7
1686,13119.9
1687,13120.3
1688,17431.8
1689,21711.2
1690,26004.4
1691,26008.9
1692,26010.7
1693,26007.4
1694,26008.8
1695,26011.5
1696,26007.3
1697,21715.6
1698,13130.2
1699,13119.9
1700,13120.1
1701,13120.5
1702,13125.9
1703,13129.8
1704,13129.9
1705,13112.1
1706,13109.9
1707,13100.4
1708,13100.5
1709,13100.9
1710,13102.4
1711,22259.4
1712,27151.4
1713,30864.2
1714,36438
1715,38292.3
1716,33186.8
1717,38293.8
1718,36434.3
1719,34579
1720,29467.9
1721,19253.5
1722,15854.4
1723,15847.9
1724,15865.5
1725,13425.8
1726,13101.1
1727,13101.9
1728,13110.6
1729,13092.1
1730,13091.1
1731,13091.4
1732,13083.1
1733,13080.6
1734,13080.7
1735,22222.3
1736,27106.8
1737,30817.8
1738,36380.7
1739,38232.3
1740,33137.1
1741,38233.5
1742,36380
1743,34527.2
1744,29422.5
1745,19225.9
1746,15824.5
1747,15830.3
1748,15840.9
1749,13406.1
1750,13081.1
1751,13081
1752,13086
1753,13071.8
1754,13070.7
1755,13071
1756,13068.5
1757,13059.9
1758,13060
1759,22185.3
1760,27063.5
1761,30769
1762,36324.5
1763,38171.9
1764,33085.6
1765,38173.2
1766,36322.8
1767,34473
1768,29376.7
1769,19195.5
1770,15800.9
1771,15804.2
1772,15816.2
1773,13384.8
1774,13060.6
1775,13060.6
1776,13068.5
1777,13051.1
1778,13050
1779,13050.3
1780,13043
1781,13039
1782,13039.2
1783,22151.7
1784,27020.6
1785,30720.1
1786,36264.9
1787,38111.3
1788,33030.5
1789,38113
1790,36262.8
1791,34416.1
1792,29329.4
1793,19162.3
1794,15784
1795,15771.6
1796,15788.1
1797,13362
1798,13039.6
1799,13049.8
1800,13049.9
1801,13030
1802,13029
1803,13018.8
1804,13017.4
1805,13017.8
1806,13021.2
1807,22117.1
1808,26978.7
1809,30666.2
1810,36206.5
1811,38048.3
1812,32974.4
1813,38050.8
1814,36203.4
1815,34358.5
1816,29280.2
1817,19124.9
1818,15764.2
1819,15755.8
1820,15745.8
1821,13344.3
1822,13028.4
1823,13028.8
1824,13027.7
1825,12996.6
1826,12995.5
1827,12995.8
1828,13002.3
1829,13006.7
1830,13007
1831,13007.1
1832,17913.4
1833,22467.9
1834,26789.9
1835,26789.4
1836,26574.2
1837,26575.1
1838,26540.8
1839,26542.3
1840,26538.7
1841,21830.1
1842,13006
1843,13001.7
1844,12995.2
1845,12995.6
1846,12995.9
1847,13006.8
1848,13006.8
1849,12986
1850,12984
1851,12972.6
1852,12972.9
1853,12973.2
1854,12980.5
1855,12984.4
1856,17225
1857,21471.6
1858,25721
1859,25715
1860,25715.8
1861,25720.3
1862,25714.8
1863,25716.2
1864,25719.5
1865,21475
1866,12978.9
1867,12984.8
1868,12975.8
1869,12972.8
1870,12973.1
1871,12977.1
1872,12984.4
1873,12963.1
1874,12962
1875,12955.9
1876,12949.5
1877,12949.9
1878,12952.1
1879,22002.6
1880,26837.9
1881,30506.4
1882,36015.5
1883,37852.7
1884,32797.8
1885,37857
1886,36014.6
1887,34176.5
1888,29129.2
1889,19023.9
1890,15676.9
1891,15682.5
1892,15674.2
1893,13275.9
1894,12959
1895,12949.5
1896,12949.8
1897,12928
1898,12937.8
1899,12938.4
1900,12938.5
1901,12936
1902,12925.8
1903,21954.9
1904,26784.4
1905,30452.7
1906,35949.8
1907,37780.7
1908,32744.1
1909,37781.2
1910,35949.1
1911,34117.7
1912,29074.6
1913,18991.2
1914,15653.9
1915,15646.3
1916,15636.4
1917,13251.9
1918,12938.3
1919,12938.7
1920,12930.3
