Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,28,13,660,25341.9468991111
1,28,14,661,4929.51470311111
1,28,15,662,-6441.11688
1,28,16,663,-7250.93097422222
1,28,17,664,-6577.39494666667
1,28,18,665,-134.72010064
1,28,19,666,0
1,28,20,667,0
1,28,21,668,0
1,28,22,669,0
1,28,23,670,0
1,28,24,671,0
1,29,1,672,0
1,29,2,673,0
1,29,3,674,0
1,29,4,675,0
1,29,5,676,0
1,29,6,677,0
1,29,7,678,0
1,29,8,679,0
1,29,9,680,0
1,29,10,681,0
1,29,11,682,0
1,29,12,683,0
1,29,13,684,0
1,29,14,685,0
1,29,15,686,0
1,29,16,687,-4708.04086444444
1,29,17,688,0
1,29,18,689,0
1,29,19,690,0
1,29,20,691,0
1,29,21,692,0
1,29,22,693,0
1,29,23,694,0
1,29,24,695,0
1,30,1,696,0
1,30,2,697,0
1,30,3,698,0
1,30,4,699,0
1,30,5,700,0
1,30,6,701,0
1,30,7,702,8875.42414311111
1,30,8,703,71883.3098488889
1,30,9,704,16228.0214857778
1,30,10,705,4217.058832
1,30,11,706,-13238.3444671111
1,30,12,707,-12116.3217182222
1,30,13,708,-23985.7017182222
1,30,14,709,-25693.0753973333
1,30,15,710,-29758.1475511111
1,30,16,711,-32481.9504577778
1,30,17,712,-48911.5169466667
1,30,18,713,-22465.9228573333
1,30,19,714,-42.6655854266667
1,30,20,715,-1654.4860664
1,30,21,716,-1194.72783013333
1,30,22,717,-13008.312952
1,30,23,718,0
1,30,24,719,0
1,31,1,720,0
1,31,2,721,0
1,31,3,722,0
1,31,4,723,0
1,31,5,724,0
1,31,6,725,0
1,31,7,726,-5630.833872
1,31,8,727,10992.4233142222
1,31,9,728,-1683.605612
1,31,10,729,-19244.1628257778
1,31,11,730,-18341.6503391111
1,31,12,731,-26832.6824128889
1,31,13,732,-39124.9933333333
1,31,14,733,-75759.1752933333
1,31,15,734,-87977.8960577778
1,31,16,735,-97853.2202177778
1,31,17,736,-101654.6456
1,31,18,737,-59547.6537111111
1,31,19,738,-21993.8439115556
1,31,20,739,-12587.3749151111
1,31,21,740,-2932.35230933333
1,31,22,741,-1768.14490471111
1,31,23,742,0
1,31,24,743,0
2,1,1,744,0
2,1,2,745,0
2,1,3,746,0
2,1,4,747,0
2,1,5,748,0
2,1,6,749,0
2,1,7,750,-21866.2700568889
2,1,8,751,46789.6821022222
2,1,9,752,40494.8077066667
2,1,10,753,6372.94853955556
2,1,11,754,5685.02272044445
2,1,12,755,1040.01852128889
2,1,13,756,29643.8498177778
2,1,14,757,7491.27859244444
2,1,15,758,-10524.9455848889
2,1,16,759,-19007.7716675556
2,1,17,760,-35971.5481777778
2,1,18,761,1888.08132622222
2,1,19,762,-12761.7522262222
2,1,20,763,-3890.40177155556
2,1,21,764,-3137.41416577778
2,1,22,765,8061.56566755556
2,1,23,766,0
2,1,24,767,0
2,2,1,768,0
2,2,2,769,0
2,2,3,770,0
2,2,4,771,0
2,2,5,772,0
2,2,6,773,0
2,2,7,774,9592.48123066667
2,2,8,775,83718.1074577778
2,2,9,776,30303.2598177778
2,2,10,777,16276.4661404445
2,2,11,778,-5337.64553244444
2,2,12,779,-10304.6440306667
2,2,13,780,15828.741404
2,2,14,781,-18685.4813666667
2,2,15,782,-44011.0748977778
2,2,16,783,-39932.4042444444
2,2,17,784,-28314.8602502222
2,2,18,785,10977.6818373333
2,2,19,786,36203.0743555556
2,2,20,787,52154.9349333333
2,2,21,788,65790.9475911111
2,2,22,789,76291.9785733333
2,2,23,790,0
2,2,24,791,0
2,3,1,792,0
2,3,2,793,0
2,3,3,794,0
2,3,4,795,0
2,3,5,796,0
2,3,6,797,22638.1607493333
2,3,7,798,100633.292777778
2,3,8,799,158350.424328889
2,3,9,800,87668.4129644445
2,3,10,801,59119.7698888889
2,3,11,802,33730.4333911111
2,3,12,803,7968.10529022222
2,3,13,804,22622.7159017778
2,3,14,805,0
2,3,15,806,-19181.2404582222
2,3,16,807,-28865.6874035556
2,3,17,808,-22652.4333124444
2,3,18,809,18673.17238
2,3,19,810,38572.5542888889
2,3,20,811,51277.1869555556
2,3,21,812,65865.9737955556
2,3,22,813,77114.3361111111
2,3,23,814,0
2,3,24,815,0
2,4,1,816,0
2,4,2,817,0
2,4,3,818,0
2,4,4,819,0
2,4,5,820,0
2,4,6,821,19058.7074266667
2,4,7,822,95045.0128311111
2,4,8,823,145842.149306667
2,4,9,824,121280.738697778
2,4,10,825,82700.2714888889
2,4,11,826,59968.7968977778
2,4,12,827,38319.63392
2,4,13,828,36258.4647955556
2,4,14,829,31317.5789333333
2,4,15,830,24132.7354946667
2,4,16,831,14317.1685342222
2,4,17,832,18670.0658262222
2,4,18,833,0
2,4,19,834,0
2,4,20,835,0
2,4,21,836,0
2,4,22,837,0
2,4,23,838,0
2,4,24,839,0
2,5,1,840,0
2,5,2,841,0
2,5,3,842,0
2,5,4,843,0
2,5,5,844,0
2,5,6,845,0
2,5,7,846,0
2,5,8,847,0
2,5,9,848,0
2,5,10,849,0
2,5,11,850,0
2,5,12,851,0
2,5,13,852,0
2,5,14,853,0
2,5,15,854,0
2,5,16,855,0
2,5,17,856,0
2,5,18,857,0
2,5,19,858,0
2,5,20,859,0
2,5,21,860,0
2,5,22,861,0
2,5,23,862,0
2,5,24,863,0
2,6,1,864,0
2,6,2,865,0
2,6,3,866,0
2,6,4,867,0
2,6,5,868,0
2,6,6,869,14780.4260395556
2,6,7,870,90280.8488488889
2,6,8,871,137288.282786667
2,6,9,872,77176.1741155556
2,6,10,873,61711.3977244444
2,6,11,874,47878.7343511111
2,6,12,875,32201.1883333333
2,6,13,876,29266.9310617778
2,6,14,877,7380.76147644445
2,6,15,878,-10485.6154417778
2,6,16,879,-17548.2775342222
2,6,17,880,-3768.60141777778
2,6,18,881,0
2,6,19,882,30193.6512222222
2,6,20,883,39255.99612
2,6,21,884,44657.2966977778
2,6,22,885,50613.9670311111
2,6,23,886,0
2,6,24,887,0
2,7,1,888,0
2,7,2,889,0
2,7,3,890,0
2,7,4,891,0
2,7,5,892,0
2,7,6,893,0
2,7,7,894,43510.8025111111
2,7,8,895,98452.8437111111
